timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W]
2026/07/26 01:04:12.377, 0, GPU-05d11eaa-c602-3ae6-847d-58de1aa5ba04, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 41, 53.49 W
2026/07/26 01:04:12.382, 1, GPU-8c921395-c819-e71c-d7cd-a860038ab3eb, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 46, 55.60 W
2026/07/26 01:04:17.387, 0, GPU-05d11eaa-c602-3ae6-847d-58de1aa5ba04, NVIDIA A100-SXM4-40GB, 0 %, 5 MiB, 40439 MiB, 42, 53.49 W
2026/07/26 01:04:17.409, 1, GPU-8c921395-c819-e71c-d7cd-a860038ab3eb, NVIDIA A100-SXM4-40GB, 0 %, 5 MiB, 40439 MiB, 46, 56.88 W
2026/07/26 01:04:22.411, 0, GPU-05d11eaa-c602-3ae6-847d-58de1aa5ba04, NVIDIA A100-SXM4-40GB, 0 %, 527 MiB, 39917 MiB, 42, 59.13 W
2026/07/26 01:04:22.411, 1, GPU-8c921395-c819-e71c-d7cd-a860038ab3eb, NVIDIA A100-SXM4-40GB, 0 %, 527 MiB, 39917 MiB, 46, 61.49 W
2026/07/26 01:04:27.411, 0, GPU-05d11eaa-c602-3ae6-847d-58de1aa5ba04, NVIDIA A100-SXM4-40GB, 10 %, 863 MiB, 39581 MiB, 44, 81.94 W
2026/07/26 01:04:27.411, 1, GPU-8c921395-c819-e71c-d7cd-a860038ab3eb, NVIDIA A100-SXM4-40GB, 10 %, 863 MiB, 39581 MiB, 49, 80.52 W
